t_s,n,c1,c2,c3,c4,c5,c6,rho
1.380000e0,4.166016e-1,1.973455e3,4.437002e3,1.015254e3,7.147208e2,4.076408e1,2.473330e0,-6.500000e-3
1.390000e0,4.161741e-1,1.973313e3,4.436225e3,1.014636e3,7.136726e2,4.064648e1,2.469313e0,-6.500000e-3
1.400000e0,4.157479e-1,1.973171e3,4.435448e3,1.014018e3,7.126265e2,4.052985e1,2.465344e0,-6.500000e-3
1.410000e0,4.153233e-1,1.973029e3,4.434670e3,1.013401e3,7.115823e2,4.041420e1,2.461422e0,-6.500000e-3
1.420000e0,4.149000e-1,1.972887e3,4.433893e3,1.012784e3,7.105402e2,4.029950e1,2.457545e0,-6.500000e-3
1.430000e0,4.144781e-1,1.972745e3,4.433115e3,1.012166e3,7.095001e2,4.018576e1,2.453713e0,-6.500000e-3
1.440000e0,4.140577e-1,1.972602e3,4.432336e3,1.011550e3,7.084620e2,4.007296e1,2.449925e0,-6.500000e-3
1.450000e0,4.136386e-1,1.972460e3,4.431557e3,1.010933e3,7.074259e2,3.996108e1,2.446179e0,-6.500000e-3
1.460000e0,4.132209e-1,1.972317e3,4.430778e3,1.010316e3,7.063919e2,3.985013e1,2.442475e0,-6.500000e-3
1.470000e0,4.128046e-1,1.972175e3,4.429999e3,1.009700e3,7.053598e2,3.974010e1,2.438811e0,-6.500000e-3
1.480000e0,4.123897e-1,1.972032e3,4.429219e3,1.009084e3,7.043298e2,3.963096e1,2.435186e0,-6.500000e-3
1.490000e0,4.119760e-1,1.971890e3,4.428439e3,1.008467e3,7.033017e2,3.952272e1,2.431600e0,-6.500000e-3
1.500000e0,4.115637e-1,1.971747e3,4.427659e3,1.007852e3,7.022756e2,3.941537e1,2.428051e0,-6.500000e-3
1.510000e0,4.111528e-1,1.971604e3,4.426878e3,1.007236e3,7.012516e2,3.930889e1,2.424539e0,-6.500000e-3
1.520000e0,4.107431e-1,1.971461e3,4.426097e3,1.006620e3,7.002295e2,3.920328e1,2.421063e0,-6.500000e-3
1.530000e0,4.103348e-1,1.971318e3,4.425315e3,1.006005e3,6.992094e2,3.909853e1,2.417622e0,-6.500000e-3
1.540000e0,4.099277e-1,1.971175e3,4.424533e3,1.005390e3,6.981914e2,3.899463e1,2.414215e0,-6.500000e-3
1.550000e0,4.095219e-1,1.971032e3,4.423751e3,1.004775e3,6.971753e2,3.889157e1,2.410842e0,-6.500000e-3
1.560000e0,4.091174e-1,1.970888e3,4.422969e3,1.004160e3,6.961611e2,3.878934e1,2.407501e0,-6.500000e-3
1.570000e0,4.087142e-1,1.970745e3,4.422186e3,1.003546e3,6.951490e2,3.868794e1,2.404192e0,-6.500000e-3
1.580000e0,4.083122e-1,1.970601e3,4.421403e3,1.002931e3,6.941388e2,3.858736e1,2.400914e0,-6.500000e-3
1.590000e0,4.079115e-1,1.970458e3,4.420620e3,1.002317e3,6.931307e2,3.848758e1,2.397666e0,-6.500000e-3
1.600000e0,4.075120e-1,1.970314e3,4.419836e3,1.001703e3,6.921245e2,3.838860e1,2.394448e0,-6.500000e-3
1.610000e0,4.071137e-1,1.970170e3,4.419052e3,1.001089e3,6.911202e2,3.829042e1,2.391259e0,-6.500000e-3
1.620000e0,4.067167e-1,1.970027e3,4.418268e3,1.000476e3,6.901180e2,3.819302e1,2.388098e0,-6.500000e-3
1.630000e0,4.063208e-1,1.969883e3,4.417483e3,9.998622e2,6.891177e2,3.809639e1,2.384965e0,-6.500000e-3
1.640000e0,4.059262e-1,1.969739e3,4.416698e3,9.992489e2,6.881193e2,3.800053e1,2.381860e0,-6.500000e-3
