t_s,n,c1,c2,c3,c4,c5,c6,rho
1.620000e0,8.313326e0,2.051723e3,4.872388e3,1.386947e3,1.460991e3,2.173260e2,2.555309e1,5.200000e-3
1.630000e0,8.424858e0,2.053535e3,4.882489e3,1.395631e3,1.478709e3,2.217868e2,2.618887e1,5.200000e-3
1.640000e0,8.531957e0,2.055375e3,4.892737e3,1.404437e3,1.496661e3,2.262869e2,2.682390e1,5.200000e-3
1.650000e0,8.638562e0,2.057240e3,4.903129e3,1.413365e3,1.514841e3,2.308243e2,2.745786e1,5.200000e-3
1.660000e0,8.745735e0,2.059132e3,4.913666e3,1.422412e3,1.533249e3,2.353987e2,2.809082e1,5.200000e-3
1.670000e0,8.853770e0,2.061050e3,4.924349e3,1.431582e3,1.551885e3,2.400102e2,2.872291e1,5.200000e-3
1.680000e0,8.962755e0,2.062995e3,4.935179e3,1.440873e3,1.570752e3,2.446593e2,2.935433e1,5.200000e-3
1.690000e0,9.072725e0,2.064966e3,4.946157e3,1.450288e3,1.589852e3,2.493462e2,2.998525e1,5.200000e-3
1.700000e0,9.183697e0,2.066965e3,4.957284e3,1.459828e3,1.609186e3,2.540713e2,3.061586e1,5.200000e-3
1.710000e0,9.295686e0,2.068990e3,4.968563e3,1.469493e3,1.628756e3,2.588351e2,3.124633e1,5.200000e-3
1.720000e0,9.408707e0,2.071044e3,4.979994e3,1.479285e3,1.648565e3,2.636380e2,3.187683e1,5.200000e-3
1.730000e0,9.522772e0,2.073125e3,4.991578e3,1.489204e3,1.668614e3,2.684804e2,3.250754e1,5.200000e-3
1.740000e0,9.637897e0,2.075234e3,5.003318e3,1.499253e3,1.688905e3,2.733627e2,3.313863e1,5.200000e-3
1.750000e0,9.754094e0,2.077371e3,5.015214e3,1.509431e3,1.709441e3,2.782854e2,3.377026e1,5.200000e-3
1.760000e0,9.871377e0,2.079537e3,5.027268e3,1.519741e3,1.730224e3,2.832488e2,3.440260e1,5.200000e-3
1.770000e0,9.989760e0,2.081732e3,5.039482e3,1.530183e3,1.751256e3,2.882534e2,3.503580e1,5.200000e-3
1.780000e0,1.010926e1,2.083956e3,5.051856e3,1.540759e3,1.772538e3,2.932997e2,3.567003e1,5.200000e-3
1.790000e0,1.022988e1,2.086209e3,5.064393e3,1.551470e3,1.794074e3,2.983881e2,3.630545e1,5.200000e-3
1.800000e0,1.035165e1,2.088492e3,5.077094e3,1.562317e3,1.815865e3,3.035191e2,3.694220e1,5.200000e-3
1.810000e0,1.047458e1,2.090805e3,5.089960e3,1.573302e3,1.837914e3,3.086932e2,3.758043e1,5.200000e-3
1.820000e0,1.059867e1,2.093148e3,5.102994e3,1.584425e3,1.860222e3,3.139108e2,3.822031e1,5.200000e-3
1.830000e0,1.072395e1,2.095522e3,5.116196e3,1.595688e3,1.882793e3,3.191724e2,3.886197e1,5.200000e-3
1.840000e0,1.085043e1,2.097926e3,5.129568e3,1.607092e3,1.905629e3,3.244785e2,3.950556e1,5.200000e-3
