case,status,k_calc,k_sigma,k_ref,sigma_exp,delta_pcm,bound_pcm,sigma_ratio,ref_source,runtime_s,n_seeds,batches,inactive,particles,error
heu-sol-therm-032,PASS,0.999729,0.000282,1.001500,0.002600,-177.1,523.1,0.677,k_eff_reference (ICSBEP handbook),271.75,5,150,50,15000,
heu-sol-therm-042_case-1,PASS,0.996574,0.000414,0.995700,0.003900,87.4,784.4,0.223,k_eff_reference (ICSBEP handbook),267.67,5,150,50,15000,
heu-sol-therm-042_case-2,PASS,0.996914,0.000752,0.996500,0.003600,41.4,735.5,0.113,k_eff_reference (ICSBEP handbook),266.03,5,150,50,15000,
heu-sol-therm-042_case-3,PASS,1.000349,0.000577,0.999400,0.002800,94.9,571.7,0.332,k_eff_reference (ICSBEP handbook),288.16,5,150,50,15000,
heu-sol-therm-042_case-4,PASS,1.001966,0.000290,1.000000,0.003400,196.6,682.5,0.576,k_eff_reference (ICSBEP handbook),298.75,5,150,50,15000,
heu-sol-therm-042_case-5,PASS,1.000497,0.000420,1.000000,0.003400,49.7,685.2,0.145,k_eff_reference (ICSBEP handbook),307.15,5,150,50,15000,
heu-sol-therm-042_case-6,PASS,0.999571,0.000493,1.000000,0.003700,-42.9,746.5,0.115,k_eff_reference (ICSBEP handbook),305.96,5,150,50,15000,
heu-sol-therm-042_case-7,PASS,1.000361,0.000331,1.000000,0.003600,36.1,723.0,0.100,k_eff_reference (ICSBEP handbook),312.48,5,150,50,15000,
heu-sol-therm-042_case-8,PASS,1.002307,0.000384,1.000000,0.003500,230.7,704.2,0.655,k_eff_reference (ICSBEP handbook),320.78,5,150,50,15000,
heu-sol-therm-043_case-1,PASS,0.994321,0.000581,0.998600,0.003100,-427.9,630.8,1.357,k_eff_reference (ICSBEP handbook),67.14,5,150,50,15000,
heu-sol-therm-043_case-2,FAIL,1.005342,0.000473,0.999500,0.002600,584.2,528.5,2.211,k_eff_reference (ICSBEP handbook),151.46,5,150,50,15000,
heu-sol-therm-043_case-3,PASS,1.000810,0.000674,0.999000,0.002500,181.0,517.8,0.699,k_eff_reference (ICSBEP handbook),178.27,5,150,50,15000,
hmf-001_godiva,PASS,0.998319,0.000442,1.000000,0.001000,-168.1,218.7,1.537,k_eff_reference (ICSBEP handbook),10.08,5,150,30,20000,
ieu-met-fast-001_case-1,PASS,0.999495,0.000199,0.998800,0.000900,69.5,184.3,0.754,k_eff_reference (ICSBEP handbook),37.87,5,150,30,20000,
ieu-met-fast-001_case-2,PASS,0.999285,0.000374,0.999700,0.000900,-41.5,194.9,0.426,k_eff_reference (ICSBEP handbook),37.75,5,150,30,20000,
ieu-met-fast-001_case-3,PASS,1.000754,0.000307,0.999300,0.000300,145.4,150.0,3.386,k_eff_reference (ICSBEP handbook),48.98,5,150,30,20000,
ieu-met-fast-001_case-4,PASS,1.000208,0.000563,1.000200,0.000300,0.8,150.0,0.012,k_eff_reference (ICSBEP handbook),50.83,5,150,30,20000,
ieu-met-fast-002,PASS,0.995136,0.000264,1.000000,0.003000,-486.4,602.3,1.615,k_eff_reference (ICSBEP handbook),54.25,5,150,30,20000,
ieu-met-fast-003_case-2,PASS,1.001465,0.000304,1.000000,0.001700,146.5,345.4,0.848,k_eff_reference (ICSBEP handbook),66.98,5,150,30,20000,
ieu-met-fast-004_case-2,FAIL,1.006125,0.000512,1.000000,0.003000,612.5,608.7,2.012,k_eff_reference (ICSBEP handbook),49.96,5,150,30,20000,
ieu-met-fast-005_case-2,PASS,0.999701,0.000450,1.000000,0.002100,-29.9,429.5,0.139,k_eff_reference (ICSBEP handbook),116.26,5,150,30,20000,
ieu-met-fast-006_case-2,FAIL,0.994960,0.000460,1.000000,0.002300,-504.0,469.1,2.149,k_eff_reference (ICSBEP handbook),89.46,5,150,30,20000,
ieu-met-fast-007_case-4,FAIL,1.000714,0.000132,1.004900,0.000800,-418.6,162.2,5.163,k_eff_reference (ICSBEP handbook),104.29,5,150,30,20000,
ieu-met-fast-009,PASS,1.005492,0.000538,1.000000,0.005300,549.2,1065.4,1.031,k_eff_reference (ICSBEP handbook),102.66,5,150,30,20000,
internal_pwr_pincell,FAIL,1.257914,0.000216,1.242060,0.000250,1585.4,150.0,47.959,k_eff_reference (ICSBEP handbook),494.71,5,200,50,20000,
leu-comp-therm-008_case-1,PASS,1.000469,0.000312,1.000700,0.001200,-23.1,248.0,0.186,k_eff_reference (ICSBEP handbook),344.59,5,150,50,15000,
leu-comp-therm-008_case-11,PASS,1.000666,0.000276,1.000700,0.001200,-3.4,246.3,0.028,k_eff_reference (ICSBEP handbook),345.55,5,150,50,15000,
leu-comp-therm-008_case-2,PASS,1.000781,0.000678,1.000700,0.001200,8.1,275.6,0.059,k_eff_reference (ICSBEP handbook),333.32,5,150,50,15000,
leu-comp-therm-008_case-5,PASS,1.000606,0.000556,1.000700,0.001200,-9.4,264.5,0.071,k_eff_reference (ICSBEP handbook),334.65,5,150,50,15000,
leu-comp-therm-008_case-7,PASS,1.000800,0.000786,1.000700,0.001200,10.0,287.0,0.070,k_eff_reference (ICSBEP handbook),336.44,5,150,50,15000,
leu-comp-therm-008_case-8,PASS,1.000197,0.000439,1.000700,0.001200,-50.3,255.5,0.394,k_eff_reference (ICSBEP handbook),338.28,5,150,50,15000,
leu-sol-therm-001,FAIL,1.012693,0.000258,0.999100,0.002900,1359.3,582.3,4.669,k_eff_reference (ICSBEP handbook),114.11,5,150,50,15000,
leu-sol-therm-002_case-1,PASS,0.999796,0.000734,1.003800,0.004000,-400.4,813.4,0.984,k_eff_reference (ICSBEP handbook),185.07,5,150,50,15000,
leu-sol-therm-002_case-2,PASS,0.995815,0.000274,1.002400,0.003700,-658.5,742.0,1.775,k_eff_reference (ICSBEP handbook),143.16,5,150,50,15000,
leu-sol-therm-002_case-3,PASS,1.000731,0.000255,1.002400,0.004400,-166.9,881.5,0.379,k_eff_reference (ICSBEP handbook),181.30,5,150,50,15000,
leu-sol-therm-003_case-1,PASS,1.001152,0.000336,0.999700,0.003900,145.2,782.9,0.371,k_eff_reference (ICSBEP handbook),126.48,5,150,50,15000,
leu-sol-therm-003_case-2,PASS,0.999626,0.000385,0.999300,0.004200,32.6,843.5,0.077,k_eff_reference (ICSBEP handbook),135.81,5,150,50,15000,
leu-sol-therm-003_case-3,PASS,1.004261,0.000560,0.999500,0.004200,476.1,847.4,1.124,k_eff_reference (ICSBEP handbook),137.06,5,150,50,15000,
leu-sol-therm-003_case-4,PASS,0.996650,0.000499,0.999500,0.004200,-285.0,845.9,0.674,k_eff_reference (ICSBEP handbook),139.54,5,150,50,15000,
leu-sol-therm-003_case-5,PASS,1.000007,0.000370,0.999700,0.004800,30.7,962.9,0.064,k_eff_reference (ICSBEP handbook),163.63,5,150,50,15000,
leu-sol-therm-003_case-6,PASS,1.000493,0.000607,0.999900,0.004900,59.3,987.5,0.120,k_eff_reference (ICSBEP handbook),165.76,5,150,50,15000,
leu-sol-therm-003_case-7,PASS,0.997266,0.000296,0.999400,0.004900,-213.4,981.8,0.435,k_eff_reference (ICSBEP handbook),171.13,5,150,50,15000,
leu-sol-therm-003_case-8,PASS,1.000609,0.000208,0.999300,0.005200,130.9,1040.8,0.252,k_eff_reference (ICSBEP handbook),188.56,5,150,50,15000,
